point 003
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-5.0502E0	1.1245E-2	8.8429E-1	1.2000E2	
2	-4.9934E0	4.9359E-2	8.8538E-1	3.0000E2	
3	-4.9178E0	1.0018E-1	8.8553E-1	4.8000E2	
4	-4.9476E0	8.0148E-2	8.8549E-1	6.6000E2	
5	-4.9316E0	9.0906E-2	8.8546E-1	8.4000E2	
6	-4.9108E0	1.0484E-1	8.8551E-1	1.0200E3	
7	-4.9036E0	1.0966E-1	8.8538E-1	1.2000E3	
8	-4.9162E0	1.0125E-1	8.8543E-1	1.3800E3	
9	-4.9252E0	9.5210E-2	8.8535E-1	1.5600E3	
10	-4.8729E0	1.3030E-1	8.8524E-1	1.7400E3	
11	-4.8873E0	1.2062E-1	8.8524E-1	1.9200E3	
12	-4.8872E0	1.2072E-1	8.8516E-1	2.1000E3	
13	-4.8911E0	1.1806E-1	8.8509E-1	2.2800E3	
14	-4.8695E0	1.3256E-1	8.8505E-1	2.4600E3	
15	-4.8897E0	1.1903E-1	8.8487E-1	2.6400E3	
16	-4.8672E0	1.3409E-1	8.8488E-1	2.8200E3	
17	-4.8717E0	1.3112E-1	8.8473E-1	3.0000E3	
18	-4.8887E0	1.1970E-1	8.8467E-1	3.1800E3	
19	-4.9232E0	9.6490E-2	8.8454E-1	3.3600E3	
20	-4.8990E0	1.1278E-1	8.8452E-1	3.5400E3	
21	-4.8849E0	1.2226E-1	8.8440E-1	3.7200E3	
22	-4.8812E0	1.2472E-1	8.8436E-1	3.9000E3	
23	-4.8952E0	1.1534E-1	8.8425E-1	4.0800E3	
24	-4.8641E0	1.3619E-1	8.8404E-1	4.2600E3	
25	-4.8737E0	1.2974E-1	8.8410E-1	4.4400E3	
26	-4.8752E0	1.2876E-1	8.8395E-1	4.6200E3	
27	-4.8739E0	1.2964E-1	8.8389E-1	4.8000E3	
28	-4.8966E0	1.1437E-1	8.8375E-1	4.9800E3	
29	-4.8923E0	1.1729E-1	8.8365E-1	5.1600E3	
30	-4.9147E0	1.0223E-1	8.8345E-1	5.3400E3	
31	-4.8797E0	1.2574E-1	8.8338E-1	5.5200E3	
32	-4.9230E0	9.6644E-2	8.8336E-1	5.7000E3	
33	-4.9060E0	1.0807E-1	8.8317E-1	5.8800E3	
34	-4.9090E0	1.0607E-1	8.8299E-1	6.0600E3	
35	-4.9249E0	9.5363E-2	8.8300E-1	6.2400E3	
36	-4.9107E0	1.0494E-1	8.8280E-1	6.4200E3	
37	-4.8954E0	1.1519E-1	8.8268E-1	6.6000E3	
38	-4.9010E0	1.1145E-1	8.8262E-1	6.7800E3	
39	-4.9104E0	1.0510E-1	8.8249E-1	6.9600E3	
40	-4.8966E0	1.1437E-1	8.8240E-1	7.1400E3	
41	-4.9124E0	1.0377E-1	8.8220E-1	7.3200E3	
42	-4.8746E0	1.2912E-1	8.8217E-1	7.5000E3	
43	-4.8852E0	1.2205E-1	8.8205E-1	7.6800E3	
44	-4.8909E0	1.1821E-1	8.8176E-1	7.8600E3	
45	-4.8804E0	1.2523E-1	8.8178E-1	8.0400E3	
46	-4.8826E0	1.2380E-1	8.8167E-1	8.2200E3	
47	-4.8816E0	1.2446E-1	8.8148E-1	8.4000E3	
48	-4.8608E0	1.3840E-1	8.8142E-1	8.5800E3	
49	-4.8520E0	1.4434E-1	8.8119E-1	8.7600E3	
50	-4.8380E0	1.5376E-1	8.8122E-1	8.9400E3	
51	-4.8251E0	1.6237E-1	8.8107E-1	9.1200E3	
52	-4.8392E0	1.5289E-1	8.8094E-1	9.3000E3	
53	-4.8660E0	1.3491E-1	8.8079E-1	9.4800E3	
54	-4.9043E0	1.0925E-1	8.8065E-1	9.6600E3	
55	-4.8886E0	1.1975E-1	8.8050E-1	9.8400E3	
56	-4.9131E0	1.0330E-1	8.8045E-1	1.0020E4	
57	-4.9136E0	1.0300E-1	8.8031E-1	1.0200E4	
58	-4.8963E0	1.1457E-1	8.8021E-1	1.0380E4	
59	-4.9030E0	1.1007E-1	8.8002E-1	1.0560E4	
60	-4.9027E0	1.1027E-1	8.7995E-1	1.0740E4	
61	-4.9218E0	9.7464E-2	8.7977E-1	1.0920E4	
62	-4.9165E0	1.0105E-1	8.7965E-1	1.1100E4	
63	-4.8810E0	1.2487E-1	8.7951E-1	1.1280E4	
64	-4.8954E0	1.1519E-1	8.7948E-1	1.1460E4	
65	-4.9022E0	1.1063E-1	8.7926E-1	1.1640E4	
66	-4.8920E0	1.1749E-1	8.7917E-1	1.1820E4	
67	-4.8941E0	1.1606E-1	8.7906E-1	1.2000E4	
68	-4.8740E0	1.2958E-1	8.7886E-1	1.2180E4	
69	-4.8766E0	1.2784E-1	8.7863E-1	1.2360E4	
70	-4.9088E0	1.0617E-1	8.7862E-1	1.2540E4	
