point 108
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-8.0902E-1	9.9081E-1	5.4379E0	1.2000E2	
2	-8.1200E-1	-3.4250E0	5.4366E0	2.3400E3	
3	-8.1024E-1	-8.2080E-1	5.4337E0	4.5600E3	
4	-8.0894E-1	1.1040E0	5.4307E0	6.7800E3	
5	-8.0826E-1	2.1231E0	5.4273E0	9.0000E3	
6	-8.0795E-1	2.5760E0	5.4237E0	1.1220E4	
7	-8.0818E-1	2.2363E0	5.4200E0	1.3440E4	
8	-8.0910E-1	8.7758E-1	5.4161E0	1.5660E4	
9	-8.0719E-1	3.7082E0	5.4121E0	1.7880E4	
10	-8.0872E-1	1.4437E0	5.4080E0	2.0100E4	
11	-8.0803E-1	2.4627E0	5.4037E0	2.2320E4	
12	-8.0696E-1	4.0479E0	5.3995E0	2.4540E4	
13	-8.0879E-1	1.3305E0	5.3952E0	2.6760E4	
14	-8.0772E-1	2.9156E0	5.3908E0	2.8980E4	
15	-8.0994E-1	-3.6790E-1	5.3865E0	3.1200E4	
16	-8.0780E-1	2.8024E0	5.3820E0	3.3420E4	
17	-8.0780E-1	2.8024E0	5.3775E0	3.5640E4	
18	-8.0788E-1	2.6892E0	5.3729E0	3.7860E4	
19	-8.0849E-1	1.7834E0	5.3684E0	4.0080E4	
20	-8.0635E-1	4.9537E0	5.3639E0	4.2300E4	
21	-8.0986E-1	-2.5468E-1	5.3591E0	4.4520E4	
22	-8.0635E-1	4.9537E0	5.3546E0	4.6740E4	
23	-8.0688E-1	4.1611E0	5.3499E0	4.8960E4	
24	-8.0620E-1	5.1802E0	5.3452E0	5.1180E4	
25	-8.0429E-1	8.0108E0	5.3405E0	5.3400E4	
26	-8.0727E-1	3.5950E0	5.3359E0	5.5620E4	
27	-8.0536E-1	6.4256E0	5.3311E0	5.7840E4	
28	-8.0597E-1	5.5198E0	5.3264E0	6.0060E4	
29	-8.0643E-1	4.8405E0	5.3216E0	6.2280E4	
30	-8.0536E-1	6.4256E0	5.3168E0	6.4500E4	
31	-8.0353E-1	9.1431E0	5.3119E0	6.6720E4	
32	-8.0612E-1	5.2934E0	5.3072E0	6.8940E4	
33	-8.0719E-1	3.7082E0	5.3023E0	7.1160E4	
34	-8.0368E-1	8.9166E0	5.2975E0	7.3380E4	
35	-8.0528E-1	6.5389E0	5.2926E0	7.5600E4	
36	-8.0467E-1	7.4447E0	5.2878E0	7.7820E4	
37	-8.0391E-1	8.5769E0	5.2829E0	8.0040E4	
38	-8.0368E-1	8.9166E0	5.2780E0	8.2260E4	
39	-8.0376E-1	8.8034E0	5.2731E0	8.4480E4	
40	-8.0429E-1	8.0108E0	5.2682E0	8.6700E4	
41	-8.0536E-1	6.4256E0	5.2633E0	8.8920E4	
42	-8.0460E-1	7.5579E0	5.2584E0	9.1140E4	
43	-8.0353E-1	9.1431E0	5.2534E0	9.3360E4	
44	-8.0238E-1	1.0841E1	5.2485E0	9.5580E4	
45	-8.0299E-1	9.9356E0	5.2436E0	9.7800E4	
46	-8.0269E-1	1.0389E1	5.2387E0	1.0002E5	
47	-8.0338E-1	9.3695E0	5.2337E0	1.0224E5	
48	-8.0139E-1	1.2313E1	5.2287E0	1.0446E5	
49	-8.0284E-1	1.0162E1	5.2237E0	1.0668E5	
50	-8.0132E-1	1.2427E1	5.2186E0	1.0890E5	
51	-8.0269E-1	1.0389E1	5.2137E0	1.1112E5	
52	-8.0215E-1	1.1181E1	5.2087E0	1.1334E5	
