point 210
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-5.6854E0	-1.1463E-2	9.7535E-1	1.2000E2	
2	-5.6218E0	3.1263E-2	9.7634E-1	3.0000E2	
3	-5.4873E0	1.2158E-1	9.7640E-1	4.8000E2	
4	-5.4801E0	1.2640E-1	9.7643E-1	6.6000E2	
5	-5.4662E0	1.3577E-1	9.7649E-1	8.4000E2	
6	-5.4486E0	1.4755E-1	9.7647E-1	1.0200E3	
7	-5.4436E0	1.5093E-1	9.7632E-1	1.2000E3	
8	-5.4398E0	1.5344E-1	9.7627E-1	1.3800E3	
9	-5.4334E0	1.5775E-1	9.7626E-1	1.5600E3	
10	-5.4773E0	1.2829E-1	9.7612E-1	1.7400E3	
11	-5.4916E0	1.1866E-1	9.7606E-1	1.9200E3	
12	-5.4449E0	1.5001E-1	9.7599E-1	2.1000E3	
13	-5.4619E0	1.3864E-1	9.7594E-1	2.2800E3	
14	-5.4618E0	1.3869E-1	9.7591E-1	2.4600E3	
15	-5.4530E0	1.4458E-1	9.7581E-1	2.6400E3	
16	-5.4587E0	1.4079E-1	9.7573E-1	2.8200E3	
17	-5.4585E0	1.4094E-1	9.7574E-1	3.0000E3	
18	-5.4414E0	1.5237E-1	9.7555E-1	3.1800E3	
19	-5.4725E0	1.3152E-1	9.7547E-1	3.3600E3	
20	-5.4709E0	1.3259E-1	9.7535E-1	3.5400E3	
21	-5.4388E0	1.5411E-1	9.7524E-1	3.7200E3	
22	-5.4658E0	1.3603E-1	9.7514E-1	3.9000E3	
23	-5.4665E0	1.3551E-1	9.7509E-1	4.0800E3	
24	-5.4802E0	1.2634E-1	9.7500E-1	4.2600E3	
25	-5.4731E0	1.3111E-1	9.7483E-1	4.4400E3	
26	-5.4661E0	1.3582E-1	9.7469E-1	4.6200E3	
27	-5.4381E0	1.5462E-1	9.7470E-1	4.8000E3	
28	-5.4435E0	1.5099E-1	9.7458E-1	4.9800E3	
29	-5.4194E0	1.6717E-1	9.7446E-1	5.1600E3	
30	-5.4509E0	1.4602E-1	9.7433E-1	5.3400E3	
31	-5.4520E0	1.4525E-1	9.7423E-1	5.5200E3	
32	-5.4465E0	1.4899E-1	9.7421E-1	5.7000E3	
33	-5.4014E0	1.7926E-1	9.7401E-1	5.8800E3	
34	-5.4116E0	1.7240E-1	9.7392E-1	6.0600E3	
35	-5.4109E0	1.7286E-1	9.7371E-1	6.2400E3	
36	-5.4107E0	1.7301E-1	9.7359E-1	6.4200E3	
37	-5.4469E0	1.4873E-1	9.7352E-1	6.6000E3	
38	-5.4362E0	1.5585E-1	9.7337E-1	6.7800E3	
39	-5.4639E0	1.3731E-1	9.7335E-1	6.9600E3	
40	-5.4652E0	1.3639E-1	9.7323E-1	7.1400E3	
41	-5.4401E0	1.5329E-1	9.7310E-1	7.3200E3	
42	-5.4424E0	1.5175E-1	9.7290E-1	7.5000E3	
43	-5.4266E0	1.6236E-1	9.7287E-1	7.6800E3	
44	-5.4514E0	1.4571E-1	9.7279E-1	7.8600E3	
45	-5.4202E0	1.6666E-1	9.7258E-1	8.0400E3	
46	-5.4478E0	1.4807E-1	9.7246E-1	8.2200E3	
47	-5.4374E0	1.5508E-1	9.7232E-1	8.4000E3	
48	-5.4677E0	1.3475E-1	9.7217E-1	8.5800E3	
49	-5.4886E0	1.2071E-1	9.7214E-1	8.7600E3	
50	-5.4590E0	1.4059E-1	9.7204E-1	8.9400E3	
51	-5.4359E0	1.5606E-1	9.7184E-1	9.1200E3	
52	-5.4398E0	1.5350E-1	9.7164E-1	9.3000E3	
53	-5.4665E0	1.3551E-1	9.7156E-1	9.4800E3	
54	-5.4347E0	1.5688E-1	9.7140E-1	9.6600E3	
55	-5.4208E0	1.6625E-1	9.7130E-1	9.8400E3	
56	-5.4226E0	1.6502E-1	9.7121E-1	1.0020E4	
57	-5.4140E0	1.7076E-1	9.7105E-1	1.0200E4	
58	-5.4029E0	1.7824E-1	9.7094E-1	1.0380E4	
59	-5.4134E0	1.7122E-1	9.7082E-1	1.0560E4	
60	-5.4305E0	1.5975E-1	9.7073E-1	1.0740E4	
61	-5.4455E0	1.4965E-1	9.7054E-1	1.0920E4	
62	-5.4404E0	1.5303E-1	9.7045E-1	1.1100E4	
63	-5.4350E0	1.5672E-1	9.7033E-1	1.1280E4	
64	-5.4643E0	1.3700E-1	9.7022E-1	1.1460E4	
65	-5.4607E0	1.3941E-1	9.7007E-1	1.1640E4	
66	-5.4298E0	1.6016E-1	9.6992E-1	1.1820E4	
67	-5.4379E0	1.5473E-1	9.6975E-1	1.2000E4	
68	-5.4230E0	1.6477E-1	9.6967E-1	1.2180E4	
69	-5.4294E0	1.6046E-1	9.6953E-1	1.2360E4	
70	-5.4356E0	1.5626E-1	9.6941E-1	1.2540E4	
71	-5.4523E0	1.4504E-1	9.6925E-1	1.2720E4	
72	-5.4500E0	1.4663E-1	9.6918E-1	1.2900E4	
73	-5.4764E0	1.2891E-1	9.6902E-1	1.3080E4	
74	-5.4594E0	1.4033E-1	9.6892E-1	1.3260E4	
75	-5.4414E0	1.5242E-1	9.6869E-1	1.3440E4	
76	-5.4700E0	1.3321E-1	9.6852E-1	1.3620E4	
77	-5.4529E0	1.4468E-1	9.6852E-1	1.3800E4	
78	-5.4417E0	1.5222E-1	9.6833E-1	1.3980E4	
79	-5.4828E0	1.2460E-1	9.6813E-1	1.4160E4	
80	-5.4604E0	1.3966E-1	9.6809E-1	1.4340E4	
81	-5.4554E0	1.4299E-1	9.6788E-1	1.4520E4	
82	-5.4339E0	1.5744E-1	9.6773E-1	1.4700E4	
83	-5.4356E0	1.5631E-1	9.6769E-1	1.4880E4	
84	-5.4420E0	1.5201E-1	9.6752E-1	1.5060E4	
85	-5.4404E0	1.5309E-1	9.6729E-1	1.5240E4	
86	-5.4578E0	1.4135E-1	9.6728E-1	1.5420E4	
87	-5.4712E0	1.3239E-1	9.6697E-1	1.5600E4	
88	-5.4466E0	1.4889E-1	9.6687E-1	1.5780E4	
89	-5.4541E0	1.4386E-1	9.6682E-1	1.5960E4	
90	-5.4340E0	1.5734E-1	9.6672E-1	1.6140E4	
91	-5.4290E0	1.6072E-1	9.6664E-1	1.6320E4	
92	-5.4295E0	1.6036E-1	9.6647E-1	1.6500E4	
93	-5.4314E0	1.5908E-1	9.6630E-1	1.6680E4	
94	-5.4392E0	1.5385E-1	9.6612E-1	1.6860E4	
95	-5.4488E0	1.4745E-1	9.6598E-1	1.7040E4	
