point 198
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-8.1879E-1	9.0588E-1	5.3976E0	1.2000E2	
2	-8.1833E-1	1.5852E0	5.3962E0	2.3400E3	
3	-8.1863E-1	1.1323E0	5.3935E0	4.5600E3	
4	-8.1650E-1	4.3026E0	5.3903E0	6.7800E3	
5	-8.1917E-1	3.3975E-1	5.3868E0	9.0000E3	
6	-8.1833E-1	1.5852E0	5.3832E0	1.1220E4	
7	-8.1985E-1	-6.7929E-1	5.3795E0	1.3440E4	
8	-8.1963E-1	-3.3961E-1	5.3754E0	1.5660E4	
9	-8.1932E-1	1.1329E-1	5.3716E0	1.7880E4	
10	-8.1917E-1	3.3975E-1	5.3674E0	2.0100E4	
11	-8.1741E-1	2.9439E0	5.3631E0	2.2320E4	
12	-8.1856E-1	1.2456E0	5.3590E0	2.4540E4	
13	-8.1581E-1	5.3217E0	5.3546E0	2.6760E4	
14	-8.1932E-1	1.1329E-1	5.3502E0	2.8980E4	
15	-8.1818E-1	1.8117E0	5.3457E0	3.1200E4	
16	-8.1749E-1	2.8307E0	5.3412E0	3.3420E4	
17	-8.1924E-1	2.2652E-1	5.3368E0	3.5640E4	
18	-8.1902E-1	5.6620E-1	5.3323E0	3.7860E4	
19	-8.1886E-1	7.9265E-1	5.3277E0	4.0080E4	
20	-8.1734E-1	3.0572E0	5.3232E0	4.2300E4	
21	-8.1848E-1	1.3588E0	5.3185E0	4.4520E4	
22	-8.1757E-1	2.7175E0	5.3138E0	4.6740E4	
23	-8.1711E-1	3.3968E0	5.3092E0	4.8960E4	
24	-8.1734E-1	3.0572E0	5.3045E0	5.1180E4	
25	-8.1390E-1	8.1523E0	5.2998E0	5.3400E4	
26	-8.1528E-1	6.1143E0	5.2951E0	5.5620E4	
27	-8.1490E-1	6.6804E0	5.2904E0	5.7840E4	
28	-8.1688E-1	3.7365E0	5.2856E0	6.0060E4	
29	-8.1421E-1	7.6994E0	5.2808E0	6.2280E4	
30	-8.1726E-1	3.1704E0	5.2761E0	6.4500E4	
31	-8.1367E-1	8.4920E0	5.2712E0	6.6720E4	
32	-8.1802E-1	2.0381E0	5.2664E0	6.8940E4	
33	-8.1451E-1	7.2465E0	5.2615E0	7.1160E4	
34	-8.1436E-1	7.4730E0	5.2567E0	7.3380E4	
